Iteración: 1, Fitness: 0.03109660122278446, Valores: [0.06839552777896016, 0.3306133912311519, 10.749769992360832]
Iteración: 2, Fitness: 0.027717475476808147, Valores: [0.058472533886239166, 0.28712857261272867, 9.113257654088596]
Iteración: 3, Fitness: 0.02723280936081297, Valores: [0.058316845758625536, 0.2685164244454155, 9.005085068899254]
Iteración: 4, Fitness: 0.02667143027540566, Valores: [0.06072429235913442, 0.273876305388075, 10.74041093522909]
Iteración: 5, Fitness: 0.026616261537335026, Valores: [0.059689966506600495, 0.2714785075443833, 10.336588304310947]
Iteración: 6, Fitness: 0.02644832599451749, Valores: [0.057931936224327005, 0.25, 10.087430077662933]
Iteración: 7, Fitness: 0.025916418504238842, Valores: [0.05912640214807563, 0.25, 11.55161086447978]
Iteración: 8, Fitness: 0.02590292273503784, Valores: [0.058771012039644105, 0.25, 11.469326082237213]
Iteración: 9, Fitness: 0.025895622511057485, Valores: [0.059001022318238595, 0.25, 11.576498197647538]
Iteración: 10, Fitness: 0.025872956714107845, Valores: [0.05967165242349892, 0.25, 12.273865507550953]
Iteración: 11, Fitness: 0.025872956714107845, Valores: [0.05967165242349892, 0.25, 12.273865507550953]
Iteración: 12, Fitness: 0.025845995858482015, Valores: [0.05905877759427326, 0.25, 12.198143680871437]
Iteración: 13, Fitness: 0.025845995858482015, Valores: [0.05905877759427326, 0.25, 12.198143680871437]
Iteración: 14, Fitness: 0.025845536792154955, Valores: [0.05905097297438489, 0.25, 12.180332809860664]
Iteración: 15, Fitness: 0.025845536792154955, Valores: [0.05905097297438489, 0.25, 12.180332809860664]
Iteración: 16, Fitness: 0.025845334109604105, Valores: [0.059049176842333614, 0.25, 12.173854197617516]
Iteración: 17, Fitness: 0.025843862340915177, Valores: [0.05908044953889421, 0.25, 12.17540296095316]
Iteración: 18, Fitness: 0.025843721925061843, Valores: [0.059076796749321175, 0.25, 12.167072696571182]
Iteración: 19, Fitness: 0.02584326178197925, Valores: [0.0593043692053994, 0.25, 12.273890082792212]
Iteración: 20, Fitness: 0.02584326178197925, Valores: [0.0593043692053994, 0.25, 12.273890082792212]
Iteración: 21, Fitness: 0.025842023581874117, Valores: [0.05914376864689073, 0.25, 12.181772113739383]
Iteración: 22, Fitness: 0.025841987236989893, Valores: [0.05914833959250333, 0.25, 12.184393936666986]
